userId,movieId,tag,timestamp
138,4995,mathematics,1440380436
138,4995,twist ending,1440380448
138,48780,Christopher Nolan,1440380053
138,48780,complicated,1440380062
138,48780,Hugh Jackman,1440380072
138,48780,nonlinear,1440380067
138,48780,psychological,1440380064
138,48780,twist ending,1440380047
138,79132,alternate reality,1440380233
138,79132,Christopher Nolan,1440380255
138,79132,intellectual,1440380251
138,79132,mindfuck,1440380252
138,79132,philosophy,1440380242
138,79132,sci-fi,1440380239
138,79132,twist ending,1440380245
138,109487,artificial intelligence,1440379984
138,109487,Christopher Nolan,1440380001
138,109487,good science,1440379977
138,109487,interesting ideea,1440379991
138,109487,philosophical issues,1440379996
138,109487,physics,1440379925
138,109487,relativity,1440380500
138,109487,sci-fi,1440380008
138,109487,sentimental,1440379993
138,109487,space,1440379974
138,109487,time travel,1440379981
138,109487,time-travel,1440379968
149,121231,eerie,1436920551
149,121231,friendship,1436920551
149,121231,teenagers,1436920551
152,52319,World War II,1335900622
164,608,Quirky,1179031045
176,5445,Tom Cruise,1378384753
176,7458,Brad Pitt,1341055445
176,8972,Nicolas Cage,1341055378
176,69640,Johnny Depp,1340916254
176,104841,sexist,1384107184
179,260,nerdy,1436669973
179,260,Science Fiction,1436669968
187,2082,Emilio Estevez,1233517175
200,260,critically acclaimed,1437932756
200,260,Science Fiction,1437932763
200,80551,strong female presence,1438023607
212,1061,emotional,1253930128
212,1061,revenge,1253930131
212,1061,true story,1253930149
212,1732,cult film,1253929373
212,1732,dark comedy,1253929372
212,1732,satirical,1253929376
212,2359,British,1253930034
212,2641,childish plot,1253930390
212,2641,plot holes,1253930395
212,2641,superhero,1253930399
212,3257,Kevin Costner,1253930539
212,3257,snorefest,1253930543
212,3275,vigilantism,1218405594
212,3300,anti-hero,1253929917
212,3300,Cole Hauser,1253929922
212,3300,Vin Diesel,1253929910
212,3301,Amanda Peet,1253929798
212,3301,Matthew Perry,1253929802
212,3301,Rosanna Arquette,1253929813
212,3809,Bill Murray,1253931205
212,3809,quirky,1253931216
212,3882,cheerleading,1253932873
212,3882,Eliza Dushku,1253932876
212,3882,Overrated,1253932878
212,4069,standard romantic comedy,1253933882
212,5219,video game adaptation,1253930587
212,5507,play enough video games and you can become an NSA agent,1253930345
212,5507,ridiculous training sequence,1253930342
212,7373,Guillermo del Toro,1253929290
212,7373,steampunk,1253929296
212,7373,superhero,1253929293
212,8861,Oded Fehr,1253930624
212,8861,post-apocalyptic,1253930636
212,8861,Sienna Guillory,1253930633
212,8861,zombies,1253930644
212,8928,Beautiful Woman,1253926735
212,8928,campy,1253926723
212,8928,irreverent,1253926726
212,8928,quirky,1253926728
212,8928,Roman Polanski,1253926730
212,27904,good animation,1253931241
212,27904,interesting concept - bad execution,1253931234
212,27904,surrealism,1253931244
212,34405,aliens,1253928597
212,34405,black comedy,1253928590
212,34405,Firefly,1253928585
212,37733,disappointing,1253929514
212,37733,overrated,1253929532
212,37733,Viggo Mortensen,1253929518
212,48394,dark,1218405627
212,48394,fairytale,1218405627
212,60684,alternate reality,1253926526
212,60684,diluted version of comic,1253926511
212,60684,dystopia,1253926517
212,60684,stylized,1253926519
212,63992,high school,1253932469
212,63992,Kristen Stewart,1253932484
212,63992,Robert Pattinson,1253932481
212,63992,Teen movie,1253932459
212,63992,Vampire Human Love,1253932463
212,64957,adapted from:book,1253929184
212,64957,Aging Disorder,1253929189
212,64957,Brad Pitt,1253929141
212,64957,cinematography,1253929177
212,64957,drama,1253929173
212,64957,original plot,1253929180
212,64957,slow parts,1253929162
212,64957,touching,1253929169
212,66097,alternate universe,1253926354
212,66097,author:Neil Gaiman,1253926328
212,66097,claymation,1253926330
212,66097,Dakota Fanning,1253926349
212,66097,dark,1253926337
212,66097,fairy tale,1253926364
212,66097,Neil Gaiman,1253926360
212,66934,Captain Hammer,1253926165
212,66934,joss whedon,1253926158
212,66934,mad scientist,1253926186
212,66934,musical,1253926178
212,66934,Nathan Fillion,1253926182
212,66934,Neil Patrick Harris,1253926160
212,66934,parody,1253926168
212,68157,Brad Pitt,1253926443
212,68157,ending,1253926451
212,68157,gratuitous violence,1253926429
212,68157,Quentin Tarantino,1253926404
212,68157,satire,1253926435
212,68157,unusual plot structure,1253926417
212,68157,violence,1253926426
212,68157,World War II,1253926408
212,68319,action,1253928934
212,68319,bad plot,1253928950
212,68319,hugh jackman,1253928926
212,68319,superhero,1253928935
212,68319,too long,1253928954
212,69526,bad plot,1253929636
212,69526,robots,1253929657
212,69526,sufficiently explodey to be good,1253929639
212,69712,Abigail Breslin,1260688098
212,69712,ending,1260688053
212,69712,genuine characters,1260688086
212,69712,Jason Patric,1260688105
212,71057,animation style,1253926100
219,46970,funny,1156788918
219,46970,nascar,1156788904
219,46970,will farell,1156788913
219,47640,beer,1156788764
219,47640,guy movie,1156788774
255,6985,breathtaking,1237060605
255,7361,i'd like to live in this movie,1237060140
255,44555,breathtaking,1237060235
257,3030,akira kurosawa,1338084833
257,3030,black comedy,1338084822
277,5618,anime,1463916275
277,5618,children,1463916304
277,5618,fantasy,1463916289
277,5971,fantasy,1463916386
277,5971,feel-good,1463916401
277,82461,bad acting,1463916776
277,82461,bad plot,1463916772
277,104283,anime,1463916484
277,132046,sci-fi,1463916817
294,6754,vampire,1138983469
294,8865,1940's feel,1140395930
294,8865,unique look,1140395930
294,36401,fairy tales,1138983064
297,104,adam sandler,1318706504
297,608,overrated,1318706739
297,1103,overrated,1318706182
297,2502,that fat nerd is just annoying,1318706118
297,8528,seen it before,1318706449
297,47640,Just stupid,1318706536
297,52973,overrated,1318706470
297,55820,overrated,1318706705
297,61024,Exellent first half,1318706053
297,61024,terrible ending,1318706042
297,76251,Gore!!!,1318706275
297,76251,sort of honest,1318706296
297,78209,Lame everything,1318706227
313,153,Ei muista,1168879424
313,293,Ei muista,1168878292
313,434,Ei muista,1168879406
313,494,Ei muista,1168878844
313,593,Katso Sanna!,1146476938
313,745,Ei muista,1146476364
313,780,Ei muista,1168878578
313,858,Katso Sanna!,1146476794
313,1036,Ei muista,1168878388
313,1042,Katso Sanna!,1146477133
313,1120,Katso Sanna!,1146477118
313,1200,Katso Sanna!,1146477102
313,1291,Ei muista,1146476308
313,1610,Katso Sanna!,1146476692
313,1617,Ei muista,1168878593
313,2273,Ei muista,1146477049
313,2329,Ei muista,1146477033
313,2600,Ei muista,1168879003
313,2985,Ei muista,1168878743
313,2989,Ei muista,1168878972
313,3160,Ei muista,1168878736
313,3175,Ei muista,1168879647
313,3499,Ei muista,1168878727
313,3793,Katso Sanna!,1146476954
313,3916,Ei muista,1146476265
313,3949,Ei muista,1168878697
313,3994,Ei muista,1168879611
313,4011,Ei muista,1168878363
313,4023,ei muista,1146477341
313,4121,Katso Sanna!,1146477233
313,4223,Ei muista,1146476274
313,4638,Ei muista,1146477217
313,5064,Ei muista,1146476225
313,5602,Ei muista,1168879553
313,6218,Ei muista,1146477184
313,7347,Ei muista,1168879177
313,8781,Ei muista,1168879161
313,44199,Ei muista,1168878406
314,260,awesome,1437338154
314,260,awesome soundtrack,1437338150
314,260,jedi,1437338139
314,260,space adventure,1437338130
346,741,anime,1159734531
346,924,boring,1159734220
346,924,slow,1159734220
346,1036,explosions,1159734488
346,1199,dystopia,1159734421
346,1274,anime,1159734245
346,2019,long,1159734734
346,2571,sci-fi,1159734634
346,2571,virtual reality,1159734636
346,2924,martial arts,1159734502
346,2997,interesting,1159734363
346,3265,explosions,1159734552
346,3265,martial arts,1159734552
346,3996,martial arts,1159734445
346,4993,long,1159734600
346,5782,explosions,1159734683
346,5782,interesting,1159734683
346,5902,boring,1159734233
346,5952,boring,1159734622
346,5952,long,1159734622
346,6350,anime,1159734417
346,6539,Johnny Depp,1159734656
346,6857,anime,1159734652
346,7022,explosions,1159734326
346,7022,martial arts,1159734467
346,7090,martial arts,1159734555
346,7153,boring,1159734608
346,7153,long,1159734608
346,7361,interesting,1159734515
346,7844,martial arts,1159734589
346,8795,Long,1159734165
346,8874,comedy,1159734745
346,8874,zombies,1159734745
346,8961,super-hero,1159734563
346,26554,apocalypse,1159734706
346,26554,interesting,1159734706
346,26585,explosions,1159734379
346,31878,comedy,1159734584
346,31878,martial arts,1159734584
346,31878,Stephen Chow,1159734584
346,33794,bad camerawork,1159734301
346,33794,slow,1159734301
347,1721,romance,1463337171
347,122886,space,1463337217
347,122886,star,1463337213
353,4721,As historicaly correct as Germany winning WW2,1140389056
353,4721,but still a fun movie.,1140389056
353,7376,"The Rocks ""finest"" work need I say more?",1140389511
353,31221,Try not to mistake this for an episode of Alias,1140389595
353,32025,Mossad,1142686944
353,35836,dumb,1137217440
364,47,biblical,1444534976
364,47,crime,1444534982
364,47,dark,1444534994
364,47,disturbing,1444534971
364,47,greed,1444534998
364,47,horror,1444534981
364,47,serial killer,1444534961
364,47,violent,1444534985
364,50,thriller,1444534932
364,232,aging,1444531181
364,232,Ang Lee,1444531177
364,232,cooking,1444531178
364,232,food,1444531186
364,232,relationships,1444531173
364,293,assassin,1444534872
364,293,hit men,1444534872
364,293,thriller,1444534887
364,318,friendship,1444529800
364,318,Morgan Freeman,1444529792
364,318,narrated,1444529829
364,318,prison,1444529824
364,318,prison escape,1444529820
364,318,revenge,1444529816
364,318,Tim Robbins,1444529804
364,318,wrongful imprisonment,1444529809
364,1176,imaginative,1444528969
364,1176,intellectual,1444528955
364,1176,Irene Jacob,1444528944
364,1176,Krzysztof Kieslowski,1444528941
364,1176,lyrical,1444528947
364,1210,action,1444529881
364,1210,aliens,1444529879
364,1210,George Lucas,1444529892
364,1210,Harrison Ford,1444529867
364,1210,sci-fi,1444529889
364,1210,sequel,1444529879
364,1210,space,1444529864
364,1210,Star Wars,1444529869
364,1210,starship pilots,1444529899
364,1210,war,1444529884
364,1265,alternate reality,1444530190
364,1265,Bill Murray,1444530207
364,1265,character development,1444530216
364,1265,comedy,1444530195
364,1265,existentialism,1444530199
364,1265,feel-good,1444530209
364,1265,funny,1444530200
364,1265,love,1444530219
364,1265,romantic,1444530228
364,1265,self discovery,1444530203
364,1732,great dialogue,1444535166
364,1732,Jeff Bridges,1444535201
